transaction_id,date,description,amount,transaction_type,category,merchant
412,2025-08-18,electronics store 3704,3704.69,expense,Shopping,electronics
413,2025-08-18,ajio order 915,915.37,expense,Shopping,ajio
414,2025-08-18,dth recharge 5325,5325.08,expense,Bills,dth
415,2025-08-20,mcdonalds meal 642,642.25,expense,Food,mcdonalds
416,2025-08-20,credit card bill payment 5967,5967.97,expense,Bills,credit
417,2025-08-20,gym membership fee 286,286.71,expense,Health,gym
418,2025-08-22,myntra clothes 498,498.76,expense,Shopping,myntra
419,2025-08-22,gift purchase 2288,2288.58,expense,Other,gift
420,2025-08-23,cash withdrawal atm 2722,2722.28,expense,Other,cash
421,2025-08-23,restaurant bill 321,321.53,expense,Food,restaurant
422,2025-08-23,furniture store 7533,7533.76,expense,Shopping,furniture
423,2025-08-24,online course udemy 11709,11709.74,expense,Education,online
424,2025-08-24,gas cylinder booking 862,862.81,expense,Bills,gas
425,2025-08-24,credit card bill payment 3887,3887.87,expense,Bills,credit
426,2025-08-24,miscellaneous expense 377,377.03,expense,Other,miscellaneous
427,2025-08-25,bakery order 657,657.22,expense,Food,bakery
428,2025-08-25,mobile recharge jio 1853,1853.94,expense,Bills,mobile
429,2025-08-25,supermarket vegetables 475,475.15,expense,Food,supermarket
430,2025-08-26,college tuition fee 10066,10066.26,expense,Education,college
431,2025-08-26,toll payment fastag 2437,2437.4,expense,Transport,toll
432,2025-08-26,toll payment fastag 1373,1373.88,expense,Transport,toll
433,2025-08-26,mcdonalds meal 1058,1058.13,expense,Food,mcdonalds
434,2025-08-28,health insurance premium 3774,3774.49,expense,Health,health
435,2025-08-28,doctor consultation fee 1822,1822.29,expense,Health,doctor
436,2025-08-28,car service 1845,1845.91,expense,Transport,car
437,2025-08-29,amazon order 2947,2947.93,expense,Shopping,amazon
438,2025-08-29,hospital bill 4177,4177.36,expense,Health,hospital
439,2025-08-30,gift purchase 2443,2443.92,expense,Other,gift
440,2025-08-30,rapido bike 121,121.35,expense,Transport,rapido
441,2025-08-30,electricity bill payment 4777,4777.99,expense,Bills,electricity
442,2025-09-01,amusement park entry 1484,1484.76,expense,Entertainment,amusement
443,2025-09-01,bank service charge 158,158.03,expense,Other,bank
444,2025-09-02,concert tickets 1306,1306.86,expense,Entertainment,concert
445,2025-09-04,movie tickets bookmyshow 1218,1218.88,expense,Entertainment,movie
446,2025-09-04,coaching class fee 11226,11226.62,expense,Education,coaching
447,2025-09-05,hospital bill 2556,2556.59,expense,Health,hospital
448,2025-09-05,salon haircut 2776,2776.72,expense,Other,salon
449,2025-09-05,movie tickets bookmyshow 1117,1117.64,expense,Entertainment,movie
450,2025-09-07,furniture store 2491,2491.38,expense,Shopping,furniture
451,2025-09-07,ola cab 839,839.96,expense,Transport,ola
452,2025-09-07,gaming purchase steam 723,723.73,expense,Entertainment,gaming
453,2025-09-08,decathlon sports gear 2942,2942.07,expense,Shopping,decathlon
454,2025-09-08,food delivery 1054,1054.44,expense,Food,food
455,2025-09-08,diagnostic lab test 1481,1481.59,expense,Health,diagnostic
456,2025-09-11,hospital bill 4771,4771.03,expense,Health,hospital
457,2025-09-11,decathlon sports gear 471,471.43,expense,Shopping,decathlon
458,2025-09-11,metro card recharge 1952,1952.93,expense,Transport,metro
459,2025-09-12,diagnostic lab test 4754,4754.92,expense,Health,diagnostic
460,2025-09-12,supermarket vegetables 251,251.85,expense,Food,supermarket
461,2025-09-13,dental checkup 2303,2303.11,expense,Health,dental
462,2025-09-13,car service 370,370.11,expense,Transport,car
463,2025-09-13,diagnostic lab test 1674,1674.77,expense,Health,diagnostic
464,2025-09-14,water bill 301,301.59,expense,Bills,water
465,2025-09-14,decathlon sports gear 4238,4238.41,expense,Shopping,decathlon
466,2025-09-15,bus ticket 1944,1944.16,expense,Transport,bus
467,2025-09-15,donation charity 2989,2989.28,expense,Other,donation
468,2025-09-15,hotstar subscription 379,379.45,expense,Entertainment,hotstar
469,2025-09-15,flipkart purchase 3725,3725.93,expense,Shopping,flipkart
470,2025-09-16,auto rickshaw fare 2419,2419.88,expense,Transport,auto
471,2025-09-16,dental checkup 3591,3591.27,expense,Health,dental
472,2025-09-16,gaming purchase steam 1291,1291.76,expense,Entertainment,gaming
473,2025-09-17,gym membership fee 738,738.61,expense,Health,gym
474,2025-09-18,shopping mall 6364,6364.91,expense,Shopping,shopping
475,2025-09-20,yoga class fee 4047,4047.76,expense,Health,yoga
476,2025-09-20,flipkart purchase 712,712.84,expense,Shopping,flipkart
477,2025-09-21,pet supplies 2319,2319.04,expense,Other,pet
478,2025-09-21,petrol pump fuel 2431,2431.78,expense,Transport,petrol
479,2025-09-21,rapido bike 1180,1180.61,expense,Transport,rapido
480,2025-09-22,hospital bill 4408,4408.11,expense,Health,hospital
481,2025-09-22,myntra clothes 3574,3574.42,expense,Shopping,myntra
482,2025-09-22,zomato lunch order 660,660.27,expense,Food,zomato
483,2025-09-22,spotify premium 325,325.92,expense,Entertainment,spotify
484,2025-09-23,health insurance premium 4252,4252.78,expense,Health,health
485,2025-09-24,maintenance society bill 1755,1755.54,expense,Bills,maintenance
486,2025-09-24,movie tickets bookmyshow 803,803.1,expense,Entertainment,movie
487,2025-09-25,myntra clothes 5338,5338.12,expense,Shopping,myntra
488,2025-09-26,pharmacy medicines 4152,4152.4,expense,Health,pharmacy
489,2025-09-26,zomato lunch order 130,130.92,expense,Food,zomato
490,2025-09-26,amazon prime subscription 1173,1173.51,expense,Entertainment,amazon
491,2025-09-26,exam registration fee 9693,9693.17,expense,Education,exam
492,2025-09-27,gaming purchase steam 775,775.61,expense,Entertainment,gaming
493,2025-09-27,book purchase 6967,6967.1,expense,Education,book
494,2025-09-27,dominos pizza 572,572.36,expense,Food,dominos
495,2025-09-28,donation charity 1053,1053.57,expense,Other,donation
496,2025-09-28,footwear purchase 6919,6919.58,expense,Shopping,footwear
497,2025-09-28,dental checkup 4880,4880.56,expense,Health,dental
498,2025-09-29,doctor consultation fee 1697,1697.71,expense,Health,doctor
499,2025-09-30,bus ticket 1140,1140.5,expense,Transport,bus
500,2025-09-30,flipkart purchase 594,594.72,expense,Shopping,flipkart
501,2025-09-30,coursera subscription 9346,9346.05,expense,Education,coursera
502,2025-10-01,footwear purchase 7483,7483.26,expense,Shopping,footwear
503,2025-10-02,mobile recharge jio 3064,3064.85,expense,Bills,mobile
504,2025-10-02,home repair 2643,2643.27,expense,Other,home
505,2025-10-03,zomato lunch order 1138,1138.66,expense,Food,zomato
506,2025-10-03,donation charity 684,684.68,expense,Other,donation
507,2025-10-03,pharmacy medicines 395,395.12,expense,Health,pharmacy
508,2025-10-04,bank service charge 1633,1633.24,expense,Other,bank
509,2025-10-04,parking fee 360,360.82,expense,Transport,parking
510,2025-10-04,concert tickets 1169,1169.16,expense,Entertainment,concert
511,2025-10-05,mcdonalds meal 137,137.3,expense,Food,mcdonalds
512,2025-10-05,rent payment 3386,3386.35,expense,Bills,rent
513,2025-10-07,bank service charge 2484,2484.67,expense,Other,bank
514,2025-10-07,petrol pump fuel 2438,2438.45,expense,Transport,petrol
515,2025-10-07,book purchase 11984,11984.99,expense,Education,book
516,2025-10-08,hospital bill 1115,1115.43,expense,Health,hospital
517,2025-10-08,exam registration fee 891,891.75,expense,Education,exam
518,2025-10-10,yoga class fee 2668,2668.76,expense,Health,yoga
519,2025-10-11,footwear purchase 7464,7464.68,expense,Shopping,footwear
520,2025-10-12,ajio order 7926,7926.8,expense,Shopping,ajio
521,2025-10-12,concert tickets 809,809.75,expense,Entertainment,concert
522,2025-10-13,bank service charge 1450,1450.93,expense,Other,bank
523,2025-10-13,grocery store bigbasket 450,450.99,expense,Food,grocery
524,2025-10-13,parking fee 1471,1471.74,expense,Transport,parking
525,2025-10-13,supermarket vegetables 611,611.54,expense,Food,supermarket
526,2025-10-14,electricity bill payment 3563,3563.61,expense,Bills,electricity
527,2025-10-14,furniture store 5106,5106.4,expense,Shopping,furniture
528,2025-10-14,college tuition fee 12378,12378.42,expense,Education,college
529,2025-10-14,electricity bill payment 3499,3499.54,expense,Bills,electricity
530,2025-10-16,cafe coffee day 431,431.34,expense,Food,cafe
531,2025-10-17,school fees payment 3297,3297.21,expense,Education,school
532,2025-10-18,cash withdrawal atm 2132,2132.04,expense,Other,cash
533,2025-10-18,maintenance society bill 2051,2051.54,expense,Bills,maintenance
534,2025-10-18,pet supplies 975,975.57,expense,Other,pet
535,2025-10-18,decathlon sports gear 7314,7314.57,expense,Shopping,decathlon
536,2025-10-19,health insurance premium 3108,3108.87,expense,Health,health
537,2025-10-19,broadband internet bill 1782,1782.19,expense,Bills,broadband
538,2025-10-20,gas cylinder booking 4661,4661.37,expense,Bills,gas
539,2025-10-20,dth recharge 2004,2004.69,expense,Bills,dth
540,2025-10-21,gaming purchase steam 269,269.75,expense,Entertainment,gaming
541,2025-10-21,coaching class fee 12330,12330.15,expense,Education,coaching
542,2025-10-22,netflix subscription 501,501.97,expense,Entertainment,netflix
543,2025-10-24,bank service charge 2254,2254.65,expense,Other,bank
544,2025-10-24,broadband internet bill 4993,4993.52,expense,Bills,broadband
545,2025-10-25,spotify premium 252,252.03,expense,Entertainment,spotify
546,2025-10-25,broadband internet bill 446,446.98,expense,Bills,broadband
547,2025-10-26,broadband internet bill 457,457.07,expense,Bills,broadband
548,2025-10-26,book purchase 10845,10845.16,expense,Education,book
549,2025-10-26,auto rickshaw fare 1933,1933.79,expense,Transport,auto
550,2025-10-26,street food vendor 1175,1175.26,expense,Food,street
551,2025-10-27,school fees payment 14044,14044.97,expense,Education,school
552,2025-10-28,donation charity 2279,2279.94,expense,Other,donation
553,2025-10-28,concert tickets 498,498.87,expense,Entertainment,concert
554,2025-10-28,zomato lunch order 810,810.57,expense,Food,zomato
555,2025-10-29,dominos pizza 548,548.03,expense,Food,dominos
556,2025-10-30,mcdonalds meal 962,962.52,expense,Food,mcdonalds
557,2025-10-31,netflix subscription 111,111.98,expense,Entertainment,netflix
558,2025-11-01,train ticket irctc 732,732.87,expense,Transport,train
559,2025-11-01,gift purchase 2560,2560.63,expense,Other,gift
560,2025-11-01,bank service charge 618,618.79,expense,Other,bank
561,2025-11-01,train ticket irctc 431,431.36,expense,Transport,train
562,2025-11-02,spotify premium 118,118.73,expense,Entertainment,spotify
563,2025-11-02,health insurance premium 2903,2903.74,expense,Health,health
564,2025-11-02,mobile recharge jio 3724,3724.08,expense,Bills,mobile
565,2025-11-03,exam registration fee 5120,5120.52,expense,Education,exam
566,2025-11-03,school fees payment 1702,1702.16,expense,Education,school
567,2025-11-03,decathlon sports gear 2724,2724.09,expense,Shopping,decathlon
568,2025-11-04,restaurant bill 509,509.6,expense,Food,restaurant
569,2025-11-05,concert tickets 522,522.03,expense,Entertainment,concert
570,2025-11-05,restaurant bill 812,812.13,expense,Food,restaurant
571,2025-11-05,electricity bill payment 4056,4056.55,expense,Bills,electricity
572,2025-11-06,spotify premium 666,666.99,expense,Entertainment,spotify
573,2025-11-06,movie tickets bookmyshow 993,993.83,expense,Entertainment,movie
574,2025-11-06,concert tickets 960,960.09,expense,Entertainment,concert
575,2025-11-07,decathlon sports gear 1394,1394.85,expense,Shopping,decathlon
576,2025-11-08,diagnostic lab test 3554,3554.41,expense,Health,diagnostic
577,2025-11-08,donation charity 2297,2297.49,expense,Other,donation
578,2025-11-08,toll payment fastag 1133,1133.47,expense,Transport,toll
579,2025-11-08,doctor consultation fee 4598,4598.64,expense,Health,doctor
580,2025-11-11,maintenance society bill 1026,1026.64,expense,Bills,maintenance
581,2025-11-11,yoga class fee 713,713.76,expense,Health,yoga
582,2025-11-11,dth recharge 682,682.01,expense,Bills,dth
583,2025-11-11,cash withdrawal atm 1387,1387.63,expense,Other,cash
584,2025-11-12,coaching class fee 8589,8589.49,expense,Education,coaching
585,2025-11-12,bank service charge 2183,2183.68,expense,Other,bank
586,2025-11-12,book purchase 12301,12301.86,expense,Education,book
587,2025-11-12,water bill 414,414.95,expense,Bills,water
588,2025-11-13,toll payment fastag 2485,2485.49,expense,Transport,toll
589,2025-11-13,rapido bike 108,108.39,expense,Transport,rapido
590,2025-11-14,myntra clothes 6173,6173.46,expense,Shopping,myntra
591,2025-11-14,book purchase 14894,14894.99,expense,Education,book
592,2025-11-14,coaching class fee 13083,13083.42,expense,Education,coaching
593,2025-11-15,online course udemy 10336,10336.14,expense,Education,online
594,2025-11-15,footwear purchase 1125,1125.34,expense,Shopping,footwear
595,2025-11-15,exam registration fee 2172,2172.0,expense,Education,exam
596,2025-11-16,swiggy dinner 1175,1175.91,expense,Food,swiggy
597,2025-11-17,exam registration fee 5875,5875.36,expense,Education,exam
598,2025-11-17,broadband internet bill 2844,2844.66,expense,Bills,broadband
599,2025-11-17,electronics store 1670,1670.15,expense,Shopping,electronics
600,2025-11-20,starbucks coffee 310,310.81,expense,Food,starbucks
601,2025-11-20,car service 112,112.93,expense,Transport,car
602,2025-11-20,starbucks coffee 909,909.41,expense,Food,starbucks
603,2025-11-21,donation charity 1642,1642.29,expense,Other,donation
604,2025-11-21,dominos pizza 644,644.36,expense,Food,dominos
605,2025-11-21,amazon prime subscription 1241,1241.92,expense,Entertainment,amazon
606,2025-11-22,dental checkup 1298,1298.98,expense,Health,dental
607,2025-11-22,furniture store 1924,1924.13,expense,Shopping,furniture
608,2025-11-22,gaming purchase steam 184,184.4,expense,Entertainment,gaming
609,2025-11-22,ajio order 4535,4535.64,expense,Shopping,ajio
610,2025-11-24,coursera subscription 8009,8009.61,expense,Education,coursera
611,2025-11-24,coaching class fee 2493,2493.5,expense,Education,coaching
612,2025-11-25,furniture store 3893,3893.45,expense,Shopping,furniture
613,2025-11-25,gas cylinder booking 5166,5166.62,expense,Bills,gas
614,2025-11-25,decathlon sports gear 7334,7334.98,expense,Shopping,decathlon
615,2025-11-26,coaching class fee 8492,8492.12,expense,Education,coaching
616,2025-11-26,ajio order 2094,2094.3,expense,Shopping,ajio
617,2025-11-26,rent payment 3933,3933.23,expense,Bills,rent
618,2025-11-26,salon haircut 322,322.77,expense,Other,salon
619,2025-11-27,restaurant bill 502,502.43,expense,Food,restaurant
620,2025-11-28,zomato lunch order 290,290.74,expense,Food,zomato
621,2025-11-28,dth recharge 1372,1372.0,expense,Bills,dth
622,2025-11-28,health insurance premium 4791,4791.55,expense,Health,health
623,2025-11-28,starbucks coffee 1129,1129.62,expense,Food,starbucks
624,2025-11-30,broadband internet bill 2470,2470.3,expense,Bills,broadband
625,2025-11-30,maintenance society bill 2031,2031.45,expense,Bills,maintenance
626,2025-11-30,amusement park entry 752,752.22,expense,Entertainment,amusement
627,2025-12-01,gaming purchase steam 602,602.86,expense,Entertainment,gaming
628,2025-12-01,home repair 340,340.89,expense,Other,home
629,2025-12-02,gym membership fee 1947,1947.92,expense,Health,gym
630,2025-12-02,online course udemy 8569,8569.11,expense,Education,online
631,2025-12-02,mobile recharge jio 244,244.89,expense,Bills,mobile
632,2025-12-03,book purchase 2540,2540.45,expense,Education,book
633,2025-12-03,gym membership fee 1992,1992.22,expense,Health,gym
634,2025-12-03,dth recharge 3371,3371.26,expense,Bills,dth
635,2025-12-03,health insurance premium 3852,3852.3,expense,Health,health
636,2025-12-04,home repair 546,546.29,expense,Other,home
637,2025-12-04,hospital bill 828,828.8,expense,Health,hospital
638,2025-12-04,gift purchase 2754,2754.85,expense,Other,gift
639,2025-12-05,street food vendor 117,117.88,expense,Food,street
640,2025-12-05,auto rickshaw fare 149,149.83,expense,Transport,auto
641,2025-12-05,mcdonalds meal 233,233.99,expense,Food,mcdonalds
642,2025-12-05,water bill 4286,4286.94,expense,Bills,water
643,2025-12-07,salon haircut 228,228.33,expense,Other,salon
644,2025-12-08,home repair 96,96.41,expense,Other,home
645,2025-12-08,online course udemy 545,545.87,expense,Education,online
646,2025-12-08,gaming purchase steam 123,123.02,expense,Entertainment,gaming
647,2025-12-08,coursera subscription 14113,14113.77,expense,Education,coursera
648,2025-12-09,ola cab 1325,1325.23,expense,Transport,ola
649,2025-12-10,maintenance society bill 1626,1626.65,expense,Bills,maintenance
650,2025-12-11,amusement park entry 209,209.71,expense,Entertainment,amusement
651,2025-12-11,coaching class fee 8605,8605.53,expense,Education,coaching
652,2025-12-12,movie tickets bookmyshow 1014,1014.88,expense,Entertainment,movie
653,2025-12-15,coaching class fee 8424,8424.71,expense,Education,coaching
654,2025-12-15,bakery order 90,90.58,expense,Food,bakery
655,2025-12-15,flipkart purchase 4098,4098.9,expense,Shopping,flipkart
656,2025-12-16,doctor consultation fee 4489,4489.74,expense,Health,doctor
657,2025-12-16,starbucks coffee 316,316.79,expense,Food,starbucks
658,2025-12-16,bank service charge 187,187.36,expense,Other,bank
659,2025-12-18,dominos pizza 1120,1120.22,expense,Food,dominos
660,2025-12-18,pharmacy medicines 4813,4813.13,expense,Health,pharmacy
661,2025-12-19,ajio order 7445,7445.22,expense,Shopping,ajio
662,2025-12-19,spotify premium 889,889.11,expense,Entertainment,spotify
663,2025-12-19,school fees payment 13478,13478.93,expense,Education,school
664,2025-12-19,diagnostic lab test 3814,3814.7,expense,Health,diagnostic
665,2025-12-20,toll payment fastag 1871,1871.28,expense,Transport,toll
666,2025-12-21,zomato lunch order 569,569.54,expense,Food,zomato
667,2025-12-21,train ticket irctc 1524,1524.77,expense,Transport,train
668,2025-12-22,coursera subscription 5097,5097.74,expense,Education,coursera
669,2025-12-22,hotstar subscription 786,786.34,expense,Entertainment,hotstar
670,2025-12-22,diagnostic lab test 2244,2244.46,expense,Health,diagnostic
671,2025-12-22,online course udemy 11650,11650.86,expense,Education,online
672,2025-12-23,water bill 629,629.92,expense,Bills,water
673,2025-12-23,ajio order 5751,5751.08,expense,Shopping,ajio
674,2025-12-24,book purchase 5602,5602.29,expense,Education,book
675,2025-12-27,salon haircut 2295,2295.97,expense,Other,salon
676,2025-12-27,petrol pump fuel 245,245.62,expense,Transport,petrol
677,2025-12-28,pet supplies 354,354.71,expense,Other,pet
678,2025-12-28,train ticket irctc 1398,1398.92,expense,Transport,train
679,2025-12-28,diagnostic lab test 209,209.85,expense,Health,diagnostic
680,2025-12-29,coursera subscription 1545,1545.08,expense,Education,coursera
681,2025-12-29,maintenance society bill 1142,1142.06,expense,Bills,maintenance
682,2025-12-29,college tuition fee 2340,2340.95,expense,Education,college
683,2025-12-30,hotstar subscription 303,303.45,expense,Entertainment,hotstar
684,2025-12-30,ajio order 2352,2352.5,expense,Shopping,ajio
685,2025-12-31,miscellaneous expense 1115,1115.32,expense,Other,miscellaneous
686,2025-12-31,dth recharge 3623,3623.77,expense,Bills,dth
